,PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total,PERSONS_INJURED,PERSONS_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED
267,1072016,107,2016,0,0,4,7,1,12,0,0,0,0,0,0,0,0
268,1202014,120,2014,0,1,1,19,4,25,609,4,120,1,24,0,465,3
269,692013,69,2013,0,0,0,0,0,0,644,8,108,4,23,0,513,4
270,1112014,111,2014,0,0,0,3,0,3,598,7,72,2,9,0,517,5
271,1132015,113,2015,3,0,2,8,1,14,1032,9,114,5,39,0,879,4
272,1012016,101,2016,0,0,2,1,1,4,0,0,0,0,0,0,0,0
273,1112013,111,2013,0,0,0,0,0,0,679,5,72,2,17,0,590,3
274,472013,47,2013,0,0,0,0,0,0,883,5,166,5,20,0,697,0
275,472014,47,2014,0,4,1,10,2,17,889,1,164,0,21,0,704,1
276,472015,47,2015,0,0,2,15,0,17,928,4,165,2,37,0,726,2
277,472016,47,2016,0,0,1,2,0,3,0,0,0,0,0,0,0,0
278,712014,71,2014,0,3,0,10,0,13,674,4,190,2,43,1,441,1
279,1222013,122,2013,0,0,0,0,0,0,793,4,93,3,14,0,686,1
280,1092014,109,2014,0,5,3,11,0,19,992,8,267,4,53,1,672,3
281,1002014,100,2014,0,0,0,5,0,5,135,0,27,0,9,0,99,0
282,492013,49,2013,0,0,0,0,0,0,620,2,110,1,26,0,484,1
283,322013,32,2013,0,0,0,0,0,0,324,2,90,1,30,0,204,1
284,2014,,2014,0,0,0,7,0,7,0,0,0,0,0,0,0,0
285,322015,32,2015,0,0,0,6,0,6,265,2,79,1,28,0,158,1
286,322016,32,2016,0,0,2,6,0,8,0,0,0,0,0,0,0,0
287,712016,71,2016,0,0,2,6,0,8,0,0,0,0,0,0,0,0
288,1202015,120,2015,6,0,1,8,1,16,568,1,112,1,12,0,444,0
289,602013,60,2013,0,0,0,0,0,0,393,2,108,0,24,0,261,2
290,1212013,121,2013,0,0,0,0,0,0,480,1,50,0,2,0,428,1
291,172013,17,2013,0,0,0,0,0,0,487,2,203,2,57,0,227,0
292,172014,17,2014,0,2,0,1,1,4,444,0,167,0,61,0,216,0
293,172015,17,2015,0,0,0,0,0,0,484,4,170,4,93,0,221,0
294,172016,17,2016,0,0,1,2,0,3,0,0,0,0,0,0,0,0
295,1092016,109,2016,0,0,2,9,2,13,0,0,0,0,0,0,0,0
296,502014,50,2014,0,5,1,8,1,15,296,3,88,2,17,0,191,1
297,712013,71,2013,0,0,0,0,0,0,731,1,200,1,66,0,465,0
298,1002015,100,2015,0,0,1,2,0,3,153,1,26,0,14,0,113,1
299,492014,49,2014,0,0,0,17,0,17,567,3,104,1,35,0,428,2
300,502015,50,2015,3,0,0,6,0,9,298,3,67,2,24,0,207,1
301,782016,78,2016,0,0,0,6,11,17,0,0,0,0,0,0,0,0
302,342013,34,2013,0,0,0,0,0,0,363,1,122,1,34,0,207,0
303,342014,34,2014,2,3,0,11,2,18,329,0,92,0,45,0,192,0
304,342015,34,2015,3,0,1,9,2,15,347,0,109,0,29,0,209,0
